Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,"Hajar, Loyal Bodyguard","Hajar, Loyal Bodyguard",Promo Pack: The Brothers' War,211p,PPBRO,Foil,Near Mint,English,Rare,453992,6730309
1,Dwarven Forge-Chanter,Dwarven Forge-Chanter,The Brothers' War,131,BRO,Foil,Near Mint,English,Common,453103,6715430
1,Argivian Avenger,Argivian Avenger,The Brothers' War,232,BRO,Foil,Near Mint,English,Uncommon,452532,6704616
1,"Hurkyl, Master Wizard","Hurkyl, Master Wizard",Promo Pack: The Brothers' War,51p,PPBRO,Normal,Near Mint,English,Rare,453945,6726544
1,Lay Down Arms,Lay Down Arms,The Brothers' War,11,BRO,Normal,Near Mint,English,Uncommon,452384,6694285
1,Thran Vigil,Thran Vigil,The Brothers' War,114,BRO,Normal,Near Mint,English,Uncommon,452143,6684068
1,Go for the Throat,Go for the Throat,The Brothers' War,102,BRO,Normal,Near Mint,English,Uncommon,451938,6675697
2,Argothian Sprite,Argothian Sprite,The Brothers' War,168,BRO,Normal,Near Mint,English,Common,452798,6708654
1,Scrapwork Rager,Scrapwork Rager,The Brothers' War,123,BRO,Normal,Near Mint,English,Common,453017,6711775
2,Recommission,Recommission,The Brothers' War,22,BRO,Normal,Near Mint,English,Common,453030,6712815
2,Wasteful Harvest,Wasteful Harvest,The Brothers' War,196,BRO,Normal,Near Mint,English,Common,452535,6704851
1,Springleaf Drum,Springleaf Drum,The Brothers' War: Retro Frame Artifacts,55,BRR,Normal,Near Mint,English,Uncommon,452431,6699931
1,Battlefield Forge (Borderless),Battlefield Forge,The Brothers' War,297,BRO,Normal,Near Mint,English,Rare,451915,6674097
1,Yotian Tactician,Yotian Tactician,The Brothers' War,228,BRO,Normal,Near Mint,English,Uncommon,453034,6713135
1,Flow of Knowledge,Flow of Knowledge,The Brothers' War,49,BRO,Normal,Near Mint,English,Uncommon,452386,6694445
1,Iron-Craw Crusher,Iron-Craw Crusher,The Brothers' War,200,BRO,Normal,Near Mint,English,Uncommon,452662,6706791
3,Third Path Savant,Third Path Savant,The Brothers' War,67,BRO,Normal,Near Mint,English,Common,451941,6675937
1,Excavation Explosion,Excavation Explosion,The Brothers' War,132,BRO,Normal,Near Mint,English,Common,453019,6711935
1,Aeronaut's Wings,Aeronaut's Wings,The Brothers' War,231,BRO,Normal,Near Mint,English,Common,453102,6715345
1,Dredging Claw,Dredging Claw,The Brothers' War,119,BRO,Normal,Near Mint,English,Common,453015,6711615
1,Coastal Bulwark,Coastal Bulwark,The Brothers' War,76,BRO,Normal,Near Mint,English,Common,453079,6713695
1,Blitz Automaton,Blitz Automaton,The Brothers' War,158,BRO,Normal,Near Mint,English,Common,453230,6720110
1,Soul-Guide Lantern,Soul-Guide Lantern,The Brothers' War: Retro Frame Artifacts,54,BRR,Normal,Near Mint,English,Uncommon,452430,6699851
1,Spectrum Sentinel,Spectrum Sentinel,The Brothers' War,244,BRO,Normal,Near Mint,English,Uncommon,453113,6716130
1,Su-Chi Cave Guard,Su-Chi Cave Guard,The Brothers' War,249,BRO,Normal,Near Mint,English,Uncommon,452244,6688303
2,Defabricate,Defabricate,The Brothers' War,45,BRO,Normal,Near Mint,English,Uncommon,452954,6710865
3,Disenchant,Disenchant,The Brothers' War,6,BRO,Normal,Near Mint,English,Common,452063,6680663
2,Rust Goliath,Rust Goliath,The Brothers' War,204,BRO,Normal,Near Mint,English,Common,451957,6677377
1,Mazemind Tome,Mazemind Tome,The Brothers' War: Retro Frame Artifacts,30,BRR,Normal,Near Mint,English,Rare,452414,6698571
1,Springleaf Drum (Schematic),Springleaf Drum,The Brothers' War: Retro Frame Artifacts,118,BRR,Normal,Near Mint,English,Uncommon,452503,6703336
1,Fauna Shaman,Fauna Shaman,Promo Pack: The Brothers' War,179p,PPBRO,Normal,Near Mint,English,Rare,453993,6730384
1,Fallaji Vanguard,Fallaji Vanguard,The Brothers' War,210,BRO,Normal,Near Mint,English,Uncommon,452220,6687133
3,Scrapwork Mutt,Scrapwork Mutt,The Brothers' War,164,BRO,Normal,Near Mint,English,Common,453018,6711855
1,Powerstone Fracture,Powerstone Fracture,The Brothers' War,112,BRO,Normal,Near Mint,English,Common,452141,6683958
1,Deadly Riposte,Deadly Riposte,The Brothers' War,5,BRO,Normal,Near Mint,English,Common,452834,6709850
2,Sibling Rivalry,Sibling Rivalry,The Brothers' War,152,BRO,Normal,Near Mint,English,Common,452190,6685783
2,Trench Stalker,Trench Stalker,The Brothers' War,116,BRO,Normal,Near Mint,English,Common,453082,6713905
2,Gix's Caress,Gix's Caress,The Brothers' War,96,BRO,Normal,Near Mint,English,Common,452131,6683558
1,Hoarding Recluse,Hoarding Recluse,The Brothers' War,186,BRO,Normal,Near Mint,English,Common,453141,6718060
2,Ambush Paratrooper,Ambush Paratrooper,The Brothers' War,3,BRO,Normal,Near Mint,English,Common,452742,6707822
1,Wing Commando,Wing Commando,The Brothers' War,73,BRO,Normal,Near Mint,English,Common,453081,6713825
1,Gnarlroot Pallbearer,Gnarlroot Pallbearer,The Brothers' War,184,BRO,Normal,Near Mint,English,Common,453142,6718140
1,Blast Zone (BRO),Blast Zone,Promo Pack: The Brothers' War,258p,PPBRO,Normal,Near Mint,English,Rare,454982,6742385
2,Roc Hunter,Roc Hunter,The Brothers' War,150,BRO,Normal,Near Mint,English,Common,453115,6716260
2,Urza's Rebuff,Urza's Rebuff,The Brothers' War,71,BRO,Normal,Near Mint,English,Common,452092,6682213
2,Clay Revenant,Clay Revenant,The Brothers' War,118,BRO,Normal,Near Mint,English,Common,451931,6675137
2,Tocasia's Dig Site,Tocasia's Dig Site,The Brothers' War,266,BRO,Normal,Near Mint,English,Common,452231,6687713
2,Phalanx Vanguard,Phalanx Vanguard,The Brothers' War,19,BRO,Normal,Near Mint,English,Common,453029,6712735
1,Ichor Wellspring,Ichor Wellspring,Commander: The Brothers' War,143,BRC,Normal,Near Mint,English,Uncommon,452145,6684178
1,"Liberator, Urza's Battlethopter","Liberator, Urza's Battlethopter",The Brothers' War,237,BRO,Normal,Near Mint,English,Rare,452236,6687963
1,Yotian Frontliner,Yotian Frontliner,The Brothers' War,42,BRO,Normal,Near Mint,English,Uncommon,452385,6694365
1,Fallaji Excavation,Fallaji Excavation,The Brothers' War,178,BRO,Normal,Near Mint,English,Uncommon,452202,6686343
2,Retrieval Agent,Retrieval Agent,The Brothers' War,60,BRO,Normal,Near Mint,English,Common,453085,6714145
1,Overwhelming Remorse,Overwhelming Remorse,The Brothers' War,110,BRO,Normal,Near Mint,English,Common,451934,6675377
2,Mine Worker,Mine Worker,The Brothers' War,239,BRO,Normal,Near Mint,English,Common,452812,6709070
1,Scrapwork Cohort,Scrapwork Cohort,The Brothers' War,37,BRO,Normal,Near Mint,English,Common,451452,6668651
1,Goblin Firebomb,Goblin Firebomb,The Brothers' War,235,BRO,Normal,Near Mint,English,Common,452235,6687883
1,Tomakul Honor Guard,Tomakul Honor Guard,The Brothers' War,195,BRO,Normal,Near Mint,English,Common,453140,6717980
1,Unwinding Clock,Unwinding Clock,The Brothers' War: Retro Frame Artifacts,61,BRR,Normal,Near Mint,English,Rare,451976,6678402
1,"Mishra, Tamer of Mak Fawa (Borderless)","Mishra, Tamer of Mak Fawa",The Brothers' War,295,BRO,Normal,Near Mint,English,Rare,451918,6674337
1,Combat Thresher,Combat Thresher,The Brothers' War,35,BRO,Normal,Near Mint,English,Uncommon,451970,6678157
2,Junkyard Genius,Junkyard Genius,The Brothers' War,214,BRO,Normal,Near Mint,English,Uncommon,452397,6695876
1,Horned Stoneseeker,Horned Stoneseeker,The Brothers' War,138,BRO,Normal,Near Mint,English,Uncommon,452877,6710116
3,Boulderbranch Golem,Boulderbranch Golem,The Brothers' War,197,BRO,Normal,Near Mint,English,Common,453138,6717820
1,Airlift Chaplain,Airlift Chaplain,The Brothers' War,2,BRO,Normal,Near Mint,English,Common,453028,6712655
1,Goring Warplow,Goring Warplow,The Brothers' War,120,BRO,Normal,Near Mint,English,Common,453093,6714685
1,Phyrexian Fleshgorger,Phyrexian Fleshgorger,The Brothers' War,121,BRO,Normal,Near Mint,English,Mythic,451439,6667836
1,"Argoth, Sanctum of Nature","Argoth, Sanctum of Nature",The Brothers' War,256a,BRO,Normal,Near Mint,English,Rare,451446,6668396
1,Meticulous Excavation,Meticulous Excavation,The Brothers' War,16,BRO,Normal,Near Mint,English,Uncommon,453075,6713405
1,Take Flight,Take Flight,The Brothers' War,65,BRO,Normal,Near Mint,English,Uncommon,452545,6705201
1,Cradle Clearcutter,Cradle Clearcutter,The Brothers' War,198,BRO,Normal,Near Mint,English,Uncommon,453139,6717900
1,Evolving Wilds,Evolving Wilds,The Brothers' War,261,BRO,Normal,Near Mint,English,Common,453127,6717110
2,Mishra's Onslaught,Mishra's Onslaught,The Brothers' War,143,BRO,Normal,Near Mint,English,Common,452185,6685483
1,Aeronaut Cavalry,Aeronaut Cavalry,The Brothers' War,1,BRO,Normal,Near Mint,English,Common,453027,6712575
1,Chromatic Star,Chromatic Star,The Brothers' War: Retro Frame Artifacts,11,BRR,Normal,Near Mint,English,Uncommon,452387,6694525
1,Reconstructed Thopter,Reconstructed Thopter,The Brothers' War,242,BRO,Normal,Near Mint,English,Uncommon,452299,6691253
1,Splitting the Powerstone,Splitting the Powerstone,The Brothers' War,63,BRO,Normal,Near Mint,English,Uncommon,451469,6668961
1,Ravenous Gigamole,Ravenous Gigamole,The Brothers' War,113,BRO,Normal,Near Mint,English,Common,453012,6711375
1,Loran's Escape,Loran's Escape,The Brothers' War,14,BRO,Normal,Near Mint,English,Common,453207,6719750
1,Helm of the Host,Helm of the Host,The Brothers' War: Retro Frame Artifacts,19,BRR,Normal,Near Mint,English,Mythic,451964,6677917
1,Perennial Behemoth,Perennial Behemoth,The Brothers' War,202,BRO,Normal,Near Mint,English,Rare,452661,6706711
1,Great Desert Prospector,Great Desert Prospector,The Brothers' War,7,BRO,Normal,Near Mint,English,Uncommon,452746,6707937
1,Symmetry Matrix,Symmetry Matrix,The Brothers' War,252,BRO,Normal,Near Mint,English,Uncommon,452831,6709610
1,Gnawing Vermin,Gnawing Vermin,The Brothers' War,101,BRO,Normal,Near Mint,English,Uncommon,452534,6704771
1,Conscripted Infantry,Conscripted Infantry,The Brothers' War,129,BRO,Normal,Near Mint,English,Common,453087,6714300
1,Bitter Reunion,Bitter Reunion,The Brothers' War,127,BRO,Normal,Near Mint,English,Common,451942,6676017
1,Mightstone's Animation,Mightstone's Animation,The Brothers' War,58,BRO,Normal,Near Mint,English,Common,452089,6682073
1,Blanchwood Prowler,Blanchwood Prowler,The Brothers' War,172,BRO,Normal,Near Mint,English,Common,453021,6712095
1,Semblance Anvil,Semblance Anvil,The Brothers' War: Retro Frame Artifacts,52,BRR,Normal,Near Mint,English,Rare,452428,6699691
1,Brushland,Brushland,The Brothers' War,259,BRO,Normal,Near Mint,English,Rare,451474,6669061
1,Argivian Avenger,Argivian Avenger,The Brothers' War,232,BRO,Normal,Near Mint,English,Uncommon,452532,6704611
1,Skyfisher Spider,Skyfisher Spider,The Brothers' War,221,BRO,Normal,Near Mint,English,Uncommon,452768,6708242
1,Quietus Spike,Quietus Spike,The Brothers' War: Retro Frame Artifacts,46,BRR,Normal,Near Mint,English,Rare,452423,6699291
1,Brushland (Borderless),Brushland,The Brothers' War,298,BRO,Normal,Near Mint,English,Rare,451916,6674177
1,Fallaji Dragon Engine,Fallaji Dragon Engine,The Brothers' War,159,BRO,Normal,Near Mint,English,Uncommon,452295,6691043
1,Giant Cindermaw,Giant Cindermaw,The Brothers' War,136,BRO,Normal,Near Mint,English,Uncommon,453094,6714765
1,Stone Retrieval Unit,Stone Retrieval Unit,The Brothers' War,248,BRO,Normal,Near Mint,English,Common,453116,6716340
1,Ashnod's Intervention,Ashnod's Intervention,The Brothers' War,85,BRO,Normal,Near Mint,English,Common,452120,6683098
1,Gixian Skullflayer,Gixian Skullflayer,The Brothers' War,100,BRO,Normal,Near Mint,English,Common,453014,6711535
1,Psychosis Crawler,Psychosis Crawler,The Brothers' War: Retro Frame Artifacts,44,BRR,Normal,Near Mint,English,Rare,452422,6699211
1,Over the Top,Over the Top,The Brothers' War,146,BRO,Normal,Near Mint,English,Rare,453107,6715715
1,Keeper of the Cadence,Keeper of the Cadence,The Brothers' War,54,BRO,Normal,Near Mint,English,Uncommon,452799,6708734
1,Obliterating Bolt,Obliterating Bolt,The Brothers' War,145,BRO,Normal,Near Mint,English,Uncommon,452392,6694726
1,Involuntary Cooldown,Involuntary Cooldown,The Brothers' War,53,BRO,Normal,Near Mint,English,Uncommon,453089,6714430
