Quantity,Name,Scryfall ID,Printing
1,Supply Drop,82a5d3e9-bada-448b-894d-9d4e7e0463c7,Normal
2,Tower Worker,f31bd134-22c8-4031-8f85-ac0855914d11,Normal
3,Power Plant Worker,99965310-e4bd-40d9-80f5-3fd1754c61c5,Normal
2,Swiftgear Drake,d5ae38a2-2f95-4750-9b59-53eb1771e5ab,Normal
2,Heavyweight Demolisher,f72de800-b28e-42c4-a3ca-5ec3a765d807,Normal
1,Depth Charge Colossus,34e09173-a92d-4cc3-9d02-bf18ab0850ec,Normal
2,Scatter Ray,1c2852c9-d566-4824-836a-2f4c7a5148a1,Normal
3,Combat Courier,171edf80-ffc1-4894-9be5-c3e93a96f734,Normal
2,Pristine Talisman,78117d34-0325-4e80-8bcd-2b2be557c81c,Normal
1,"Hajar, Loyal Bodyguard",60aab685-c28f-4a40-8f6a-05223a374335,Foil
1,Dwarven Forge-Chanter,bbd6a95a-11b9-43aa-b293-20a3102bae71,Foil
1,Argivian Avenger,28e3bf5a-0a90-46d3-bcfe-9a47df41b72b,Foil
1,"Hurkyl, Master Wizard",11435891-1775-4ae7-8cc2-77279c812299,Normal
1,Lay Down Arms,5649ee5a-4485-40a2-96d1-2e061905a71e,Normal
1,Thran Vigil,3faed400-0712-4fc1-b710-144db40a5e11,Normal
1,Go for the Throat,94117b09-d852-4f2e-be8e-68ee0ee3c3d8,Normal
2,Argothian Sprite,b5dbc383-7e08-4701-8d4a-6b99b74fe358,Normal
1,Scrapwork Rager,e28de770-7975-4aa9-b656-e7dbe6bff290,Normal
2,Recommission,2a64e330-1257-4ec3-9a75-889cdcac3ade,Normal
2,Wasteful Harvest,00a0c819-36d1-442b-bec5-e6df58a122c0,Normal
1,Springleaf Drum,b52af7e0-cd75-4e8e-82ed-65f8a3d0380a,Normal
1,Battlefield Forge,7dbd1d94-9ae2-46dc-9ece-26e72a323fd1,Normal
1,Yotian Tactician,760c0369-c2e4-4bd7-a301-9f707f5f48a8,Normal
1,Flow of Knowledge,5ea316f3-4a68-4cd4-a388-da9d0455d0a9,Normal
1,Iron-Craw Crusher,64e2ec10-f45f-46ef-a076-52425bf3fe3b,Normal
3,Third Path Savant,793a51ab-59fb-424f-a315-3f63e8990322,Normal
1,Excavation Explosion,a169612e-f5de-4653-bc31-9ede8c5bdc75,Normal
1,Aeronaut's Wings,fcc65821-e4e7-471c-941c-9d3e25ae8bb9,Normal
1,Dredging Claw,c8e133a2-631f-43f6-9fdd-e542d4d15e10,Normal
1,Coastal Bulwark,e24567f8-d195-4547-bba4-7a8131dc7889,Normal
1,Blitz Automaton,e4e5529a-848b-486c-97fb-1def35df7837,Normal
1,Soul-Guide Lantern,d742e2c1-ca8c-454b-bd5d-765f60ed3de9,Normal
1,Spectrum Sentinel,936cbe05-7b36-4569-94f3-671c28c7468a,Normal
1,Su-Chi Cave Guard,bb04dad2-4561-4cef-9cee-80d6f1a44bee,Normal
2,Defabricate,7dd32168-0b9c-4633-adec-d41cf125cc35,Normal
3,Disenchant,658c5caa-d739-4d30-a512-43ac4de900cb,Normal
2,Rust Goliath,8348f73d-4226-4296-9d51-a2c497ee8270,Normal
1,Mazemind Tome,33dc5dff-390d-499d-aa28-fb75b92ba1c5,Normal
1,Springleaf Drum,e005f8e3-f0d6-4911-a4d2-4c244dd7bda0,Normal
1,Fauna Shaman,7fec3fbc-31d5-4ed3-ac2c-c26c12218b37,Normal
1,Fallaji Vanguard,ffe9ee1c-5eb3-4d63-a641-0ec5adf7b058,Normal
3,Scrapwork Mutt,4742800a-4872-4c2d-b884-01e0ba16950c,Normal
1,Powerstone Fracture,2323301f-565a-4c0f-bffd-18386ccd1f7a,Normal
1,Deadly Riposte,38eca0ae-d400-4afb-9a45-7100f4cd7149,Normal
2,Sibling Rivalry,c44b24de-60b4-4855-9111-f1237f71bc4d,Normal
2,Trench Stalker,aa1b987a-a3b9-4cd1-85b0-e58df4130934,Normal
2,Gix's Caress,f1140cb9-6c48-4054-966e-5cc02aa7d5a4,Normal
1,Hoarding Recluse,6559afec-6bb8-4501-8805-4eb108443048,Normal
2,Ambush Paratrooper,cfa00c0e-163d-4f59-b8b9-3ee9143d27bb,Normal
1,Wing Commando,43e640c3-02bb-453c-a609-05d8214e2e2e,Normal
1,Gnarlroot Pallbearer,b7382154-ac8f-40ca-94e4-2f0533c0cf20,Normal
1,Blast Zone,f9376380-8661-4ac6-bd7a-f5d3606f678a,Normal
2,Roc Hunter,5c8b2f2b-6f19-47f7-bb65-00665989bc30,Normal
2,Urza's Rebuff,8a6f90b3-450c-490a-b6d0-2393c4646c85,Normal
2,Clay Revenant,fc295bac-5031-46c8-8d9a-368656bcf6d3,Normal
2,Tocasia's Dig Site,23d4b90c-95b1-4828-bc08-7067da0d5364,Normal
2,Phalanx Vanguard,2abe2af7-deba-4569-822a-2d9309aeaadd,Normal
1,Ichor Wellspring,1a5313e8-b7d1-49c7-81de-4da99ba9733f,Normal
1,"Liberator, Urza's Battlethopter",c31e6768-bcab-43c4-bfc1-76e961689ae9,Normal
1,Yotian Frontliner,bfa05d1e-6728-4e77-bfb2-da0b9598e44b,Normal
1,Fallaji Excavation,ac75c41f-82dc-4b06-a233-9b74ea177a3d,Normal
2,Retrieval Agent,f333a7b1-936e-42f3-ba22-2c76dd2f1c9a,Normal
1,Overwhelming Remorse,202cbfa4-3b3d-47fd-84a6-892692c906d6,Normal
2,Mine Worker,5aa63321-aa28-449d-a31f-869a98c5a6be,Normal
1,Scrapwork Cohort,91b0f17e-603a-4840-b2c3-381ec6f102f3,Normal
1,Goblin Firebomb,0ba00d0f-0ea5-417c-a792-06b3b9d1c8f1,Normal
1,Tomakul Honor Guard,c7745439-f40b-4647-8bff-53751d511bbd,Normal
1,Unwinding Clock,2cb86d65-15c3-4169-9716-c8394ede4f65,Normal
1,"Mishra, Tamer of Mak Fawa",fc81aac1-4d23-4826-912e-6355d8ccb3ee,Normal
1,Combat Thresher,74dfabfd-e13b-4512-a733-abe514be6404,Normal
2,Junkyard Genius,a15b0676-b698-4160-8d2f-a22a1011bac0,Normal
1,Horned Stoneseeker,5cd965a9-caa2-42a3-b2f9-e4f57341ac27,Normal
3,Boulderbranch Golem,6e6e5338-9b95-4ac7-a57c-5efaa6423531,Normal
1,Airlift Chaplain,7ad55575-6053-43b1-9496-bcb1ea25e2a1,Normal
1,Goring Warplow,9d927dfd-ae66-4235-a61b-39c85d0c1222,Normal
1,Phyrexian Fleshgorger,62d37423-3445-412a-9abd-0480da404637,Normal
1,"Argoth, Sanctum of Nature",b29c9e4f-7b98-4610-a681-ae6297e8fc72,Normal
1,Meticulous Excavation,e811461a-6a90-416f-940c-c9579659ae0c,Normal
1,Take Flight,46a2108e-e45e-4b21-a03b-5f644b6043be,Normal
1,Cradle Clearcutter,50cc9b90-792e-4cf7-ab8c-cb616d94092a,Normal
1,Evolving Wilds,238de888-b1bd-4cce-9aa2-d0dd69ae7f0d,Normal
2,Mishra's Onslaught,eda82e38-c1d4-4019-8f79-f91602d941b0,Normal
1,Aeronaut Cavalry,38a62bb2-bc33-44d4-9a7e-92c9ea7d3c2c,Normal
1,Chromatic Star,669f7205-af98-4e9b-a5d1-2901507c511d,Normal
1,Reconstructed Thopter,bcc8a8d8-6d8e-44b3-a29b-5fa4a851a25b,Normal
1,Splitting the Powerstone,569dab90-a0d8-4c0a-8e32-b2cb3aec39a6,Normal
1,Ravenous Gigamole,2fee3328-75c2-4d13-86e1-bf3a40fbf538,Normal
1,Loran's Escape,3765610d-a0c1-4de9-a81b-ffa3eb06454b,Normal
1,Helm of the Host,c1c86b0c-a8a9-4cd4-bec9-3c1680c52cac,Normal
1,Perennial Behemoth,6cb74e91-f7e5-49dd-8aa8-83a679f88a21,Normal
1,Great Desert Prospector,dc83d586-bf46-437f-a5a3-996bd62d5866,Normal
1,Symmetry Matrix,786bce65-1c04-45fc-b81b-e7590afbd117,Normal
1,Gnawing Vermin,2fa2fa48-ddb7-45f0-b183-4186df98f7cc,Normal
1,Conscripted Infantry,f50b0449-8ff7-4549-893b-aeca93720c64,Normal
1,Bitter Reunion,345a1c80-41d6-43b1-83ab-1aa56dd06b1b,Normal
1,Mightstone's Animation,8c540e42-22e2-4127-bbd9-2e9200023fec,Normal
1,Blanchwood Prowler,9c6988b6-ade0-4cd5-b27c-146e5e7ae91f,Normal
1,Semblance Anvil,52f4f1fa-43b8-411c-a151-c90b776fe985,Normal
1,Brushland,18d236ce-3b78-403a-b5f9-4fb44123d85b,Normal
1,Argivian Avenger,28e3bf5a-0a90-46d3-bcfe-9a47df41b72b,Normal
1,Skyfisher Spider,87300ac8-8b6f-4c37-8058-beb59eaa66be,Normal
1,Quietus Spike,31c776aa-7f7e-4cd7-a188-bbe655f785d2,Normal
1,Brushland,98178c9d-e113-4f0e-9a7b-3ebfaafe2503,Normal
1,Fallaji Dragon Engine,f7761ed0-a784-4dfb-ab6c-0f4b9a411cf3,Normal
1,Giant Cindermaw,1349465f-d29f-4d4b-a653-f4388574c336,Normal
1,Stone Retrieval Unit,e8a36d1f-f6cc-4962-9ad6-589f7b3e5f95,Normal
1,Ashnod's Intervention,bcf491db-d12b-4c58-9c05-085cac34a73e,Normal
1,Gixian Skullflayer,ebdcf02b-1876-44d7-8a22-679ea1272856,Normal
1,Psychosis Crawler,5f3f6838-9a93-4d92-b782-c28b66fc3441,Normal
1,Over the Top,01eb9702-55c5-41b2-8bef-63d33dafa599,Normal
1,Keeper of the Cadence,09200388-47c9-4472-ac9e-98f57653e084,Normal
1,Obliterating Bolt,7f886411-8216-4fb7-9172-a408c39043ee,Normal
1,Involuntary Cooldown,d4fcaf6d-6491-4459-98b0-b3c7d43df59e,Normal
